job_title,company,salary,location,classification,work_type,technical_skills,posted_date,job_id_url
Senior Data Engineer,The Onset,$150k - $160k + super + ESOP,Sydney NSW,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,R ETL Databricks ai r,2024-10-15,https://www.seek.com.au/job/79575175?type=standout&ref=search-standalone&origin=cardTitle
Data Modeler,Hays | Technology,$170k - $180k package,Sydney NSW,Developers/Programmers (Information & Communication Technology),Full time,Analytics Excel ai r excel Tableau Power BI,2024-10-25,https://www.seek.com.au/job/79483417?type=standout&ref=search-standalone&origin=cardTitle
Senior Analyst Model Validation,DHL Supply Chain (Australia) Pty Ltd,$0 - $0,"Rhodes, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,R r Excel ai,2024-10-18,https://www.seek.com.au/job/79726561?type=standout&ref=search-standalone&origin=cardTitle
Sales Analyst,Downer EDI Limited,N/A,Sydney NSW,Consultants (Information & Communication Technology),Full time,R r Excel ai,2024-10-25,https://www.seek.com.au/job/79568520?type=standard&ref=search-standalone&origin=cardTitle
"Performance Insights Partner (Analytics, Insights & Reporting)",Ferrero Australia,N/A,Sydney NSW,Analysis & Reporting (Accounting),Full time,R Excel ai r excel,2024-10-22,https://www.seek.com.au/job/79727266?type=standout&ref=search-standalone&origin=cardTitle
Senior Project Manager - Data Migration,Richard Lloyd Accounting Recruitment,$120K - $125K + Super,Sydney NSW,Management Accounting & Budgeting (Accounting),Contract/Temp,SQL R ETL Excel ai r Python excel Tableau Snowflake,2024-10-24,https://www.seek.com.au/job/79650789?type=promoted&ref=search-standalone&origin=cardTitle
"Product Analyst, Everyday Banking",PRA,$1050p.d.,Sydney NSW,Architects (Information & Communication Technology),Contract/Temp,R r Excel ai,2024-10-14,https://www.seek.com.au/job/79708461?type=promoted&ref=search-standalone&origin=cardTitle
Power BI Developer,People One,"$110,000 – $140,000 per year",Sydney NSW,Analysis & Reporting (Sales),Full time,SQL R Databricks ml r Snowflake,2024-10-25,https://www.seek.com.au/job/79472965?type=standard&ref=search-standalone&origin=cardTitle
Data Engineering Manager,Cartology,N/A,"Surry Hills, Sydney NSW",Management (Information & Communication Technology),Full time,SQL ETL ai statistical r analytics excel Tableau Power BI,2024-10-09,https://www.seek.com.au/job/79742058?type=standout&ref=search-standalone&origin=cardTitle
Financial Analyst,Michael Page,Plus Superannuation,Sydney NSW,Other (Retail & Consumer Products),Contract/Temp,SQL R ETL Java ai r Python Tableau,2024-10-22,https://www.seek.com.au/job/79359667?type=standard&ref=search-standalone&origin=cardTitle
Lead Analyst,COS,N/A,"Lidcombe, Sydney NSW",Analysts (Consulting & Strategy),Full time,R Excel ai r analytics excel,2024-10-24,https://www.seek.com.au/job/79634831?type=standout&ref=search-standalone&origin=cardTitle
Senior Economic & Policy Analyst,Colonial First State Investments Limited,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,R Excel ai Jira r,2024-10-24,https://www.seek.com.au/job/79704977?type=standout&ref=search-standalone&origin=cardTitle
Senior Business Analyst,Robert Half,$100k - $110k p.a.,"Cheltenham, Sydney NSW",Analysis & Reporting (Banking & Financial Services),Contract/Temp,R excel r ai,Posted 23h ago,https://www.seek.com.au/job/79700471?type=standard&ref=search-standalone&origin=cardTitle
Data Engineer,Travelex Ltd,N/A,Sydney NSW,Analysis & Reporting (Accounting),Full time,Analytics R ai r analytics excel aws,2024-10-01,https://www.seek.com.au/job/79742319?type=standout&ref=search-standalone&origin=cardTitle
Domain Data Architect,Brunel,N/A,"North Sydney, Sydney NSW",Client & Sales Administration (Administration & Office Support),Full time,R Excel ai r excel,2024-10-23,https://www.seek.com.au/job/79175289?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst,The Onset,AUD 145000 - 160000 per annum,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL R Excel ai r excel Power BI,2024-10-21,https://www.seek.com.au/job/79691386?type=standout&ref=search-standalone&origin=cardTitle
Client Support Analyst,NSW Department of Customer Service,$120859.0k - $133183.0k p.a.,"Parramatta, Sydney NSW",Government - State (Government & Defence),Full time,SQL R ml ai r analytics,2024-10-11,https://www.seek.com.au/job/79624311?type=standard&ref=search-standalone&origin=cardTitle
Senior Data Engineer,Liverpool City Council,N/A,"Liverpool, Sydney NSW",Management (Information & Communication Technology)Government - Local (Government & Defence),Full time,R r ETL ai,2024-10-19,https://www.seek.com.au/job/79438741?type=standout&ref=search-standalone&origin=cardTitle
Lead/Coordinator Data and Information,SALT SEARCH PTY LTD,$155k - $170k p.a.,Sydney NSW,Engineering - Software (Information & Communication Technology),Full time,R r ai,2024-10-19,https://www.seek.com.au/job/79601925?type=standout&ref=search-standalone&origin=cardTitle
FP&A Analyst | 18 month Contract,Novon,N/A,Sydney NSW,Architects (Information & Communication Technology),Full time,SQL R Excel ai Ai r Tableau Power BI,2024-10-16,https://www.seek.com.au/job/79597077?type=standard&ref=search-standalone&origin=cardTitle
Commercial Finance Analyst,Team Global Express,N/A,"Banksmeadow, Sydney NSW","Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,R Excel ai r excel,Posted 21h ago,https://www.seek.com.au/job/79503837?type=standout&ref=search-standalone&origin=cardTitle
Commercial Analyst,N/A,N/A,N/A,N/A,N/A,R excel r ai,Posted 22h ago,https://www.seek.com.au/job/79073796?type=standard&ref=search-standalone&origin=cardTitle
Junior Data Systems Support Analyst,Australian Pork Limited,N/A,Sydney NSW,Market Research & Analysis (Marketing & Communications),Full time,SQL R ETL Power BI ai AI r excel Snowflake,2024-10-25,https://www.seek.com.au/job/79746127?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Engineer,Brennan IT,N/A,Sydney NSW,Consultants (Information & Communication Technology),Full time,SQL Excel ai Quantitative r Python excel,Posted 19h ago,https://www.seek.com.au/job/79745228?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer,Lawson Elliott Recruitment,$110k – $120k + Super + Bonus,Sydney NSW,Analysis & Reporting (Accounting),Full time,R r AWS ai,2024-10-14,https://www.seek.com.au/job/79723060?type=standard&ref=search-standalone&origin=cardTitle
Finance Analyst,The Argyle Network,$1100-$1200 daily rate inc super,Sydney NSW,Architects (Information & Communication Technology),Contract/Temp,R Excel ai AI r excel Power BI,2024-10-19,https://www.seek.com.au/job/79749969?type=standout&ref=search-standalone&origin=cardTitle
Data Solution Architect - Financial Markets & Group Treasury,Wotton + Kearney,N/A,Sydney NSW,Analysis & Reporting (Accounting),Full time,SQL R Mathematics ai r,2024-10-14,https://www.seek.com.au/job/79475378?type=standout&ref=search-standalone&origin=cardTitle
Marketing Manager,AMP Services,competitive salary + 12% super,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Contract/Temp,R r Excel ai,2024-10-12,https://www.seek.com.au/job/79598208?type=promoted&ref=search-standalone&origin=cardTitle
BI Analytics Consultant - Risk,Autosports Group,N/A,"Leichhardt, Sydney NSW",Other (Marketing & Communications),Full time,R ai r excel sAs Power BI,2024-10-10,https://www.seek.com.au/job/79473218?type=promoted&ref=search-standalone&origin=cardTitle
Commercial Finance Analyst (entry to mid),Map Talent Group,N/A,Sydney NSW,Consultants (Information & Communication Technology),Full time,SQL R Excel ai r analytics Tableau sAs,2024-10-12,https://www.seek.com.au/job/79449093?type=standout&ref=search-standalone&origin=cardTitle
Consumer Insights Manager,GradConnection,N/A,Sydney NSW,Management (Marketing & Communications),Full time,SQL ETL R SAS ai r analytics Power BI,2024-10-23,https://www.seek.com.au/job/79407948?type=standout&ref=search-standalone&origin=cardTitle
Data Consultant,The University of Sydney,Up to $108557 p.a. + 17% Superannuation,"Camperdown, Sydney NSW","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,R r Excel ai,2024-10-24,https://www.seek.com.au/job/79444707?type=standout&ref=search-standalone&origin=cardTitle
Data Science Trainer,vitae group pty ltd,N/A,Sydney NSW,Government - Federal (Government & Defence),Full time,R ai Jira r excel,2024-10-17,https://www.seek.com.au/job/79671387?type=standard&ref=search-standalone&origin=cardTitle
2025 Graduate Brand Analyst,The Fred Hollows Foundation,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,R ai AI r Python excel,2024-10-01,https://www.seek.com.au/job/79699792?type=standard&ref=search-standalone&origin=cardTitle
Senior Intelligence Team,The Star Entertainment Group,N/A,Sydney NSW,Analysis & Reporting (Sales),Full time,R r ai,2024-10-24,https://www.seek.com.au/job/79559027?type=standout&ref=search-standalone&origin=cardTitle
Revenue Analyst,SB Recruitment Pty Ltd,Salary negotiable depending on experience,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,SQL Analytics R ai r Power BI,2024-10-24,https://www.seek.com.au/job/79187875?type=standout&ref=search-standalone&origin=cardTitle
Business Intelligence Analyst | Financial Services | Hybrid Model,Jefferson Frank International,$170k - $200k p.a.,Sydney NSW,Engineering - Software (Information & Communication Technology),Full time,SQL R ai r Python ML,2024-10-18,https://www.seek.com.au/job/79699323?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst,Sestra People Pty Ltd,"$140,000 – $180,000 per year",Sydney NSW,Consultants (Information & Communication Technology),Full time,Analytics R Excel ai r excel,2024-10-21,https://www.seek.com.au/job/79716519?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Engineer,NRI Australia & New Zealand,N/A,Sydney NSW,Consultants (Information & Communication Technology),Full time,R r ai,2024-10-24,https://www.seek.com.au/job/79571762?type=standout&ref=search-standalone&origin=cardTitle
Principal Consultant - Data & Analytics,ARL Laboratory Services P/L,"$105,000 – $110,000 per year","Yennora, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,R ai r analytics sas,2024-10-16,https://www.seek.com.au/job/79624511?type=standard&ref=search-standalone&origin=cardTitle
Head of Data,Robert Half,$230k - $250k p.a. + Super,Sydney NSW,Management (Information & Communication Technology),Full time,SQL R ETL SAS ai r Python aws,2024-10-22,https://www.seek.com.au/job/79699612?type=standard&ref=search-standalone&origin=cardTitle
ICT Business Analyst,AUSTRALIAN FEDERAL POLICE,"$102,927.00 - $113,563.00 +15.4 Super",Sydney NSW,Developers/Programmers (Information & Communication Technology)Government - Federal (Government & Defence),Full time,R r ai,2024-10-23,https://www.seek.com.au/job/79528207?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer,Richard Lloyd Accounting Recruitment,$120K - $125K + Super,Sydney NSW,Management Accounting & Budgeting (Accounting),Contract/Temp,R r ai,2024-10-22,https://www.seek.com.au/job/79650789?type=standout&ref=search-standalone&origin=cardTitle
Financial Analyst,TRS - Public Sector,$850 per day,"Alexandria, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,R r,2024-10-19,https://www.seek.com.au/job/79690641?type=standard&ref=search-standalone&origin=cardTitle
Data Governance Consultant,Vaughan Civil Pty Ltd,N/A,"Bondi Junction, Sydney NSW",Analysis & Reporting (Accounting),Full time,R r Excel ai,2024-10-14,https://www.seek.com.au/job/79653028?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst,AMP Services,competitive salary + 12% super,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Contract/Temp,R ai r excel sAs Power BI,2024-10-14,https://www.seek.com.au/job/79598208?type=standout&ref=search-standalone&origin=cardTitle
Financial Analyst,Gaming Associates,"$80,000 – $96,000 per year","Bella Vista, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,R Excel ml ai r,2024-10-24,https://www.seek.com.au/job/79474310?type=standard&ref=search-standalone&origin=cardTitle
"Product Analyst, Everyday Banking",Autosports Group,N/A,"Leichhardt, Sydney NSW",Other (Marketing & Communications),Full time,R ETL ai AI r analytics ML,2024-10-01,https://www.seek.com.au/job/79473218?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Engineer (GCP),Talenza,$165k - $185k p.a.,Sydney NSW,Other (Information & Communication Technology),Full time,R ETL ai AI r analytics ML,2024-10-01,https://www.seek.com.au/job/79715641?type=standard&ref=search-standalone&origin=cardTitle
BI Analytics Consultant - Risk,Protecht Group,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R Java ai r,2024-10-24,https://www.seek.com.au/job/79174284?type=promoted&ref=search-standalone&origin=cardTitle
DBT Engineer | Senior Data Engineer | Architect,Protecht Group,N/A,Sydney NSW,Analysts (Consulting & Strategy),Full time,SQL Analytics R Java ai r,2024-10-25,https://www.seek.com.au/job/79174328?type=promoted&ref=search-standalone&origin=cardTitle
Senior Data Engineer (GCP),Talenza,$165k - $185k p.a.,Sydney NSW,Other (Information & Communication Technology),Full time,SQL R ETL Excel ai r Python excel Tableau Snowflake,2024-10-24,https://www.seek.com.au/job/79715691?type=standard&ref=search-standalone&origin=cardTitle
Business Analyst - Work Force Management,Ashdown People,$750 p/d + super,Sydney NSW,Developers/Programmers (Information & Communication Technology),Contract/Temp,SQL R ETL AWS JIRA ai r Python ML,2024-10-12,https://www.seek.com.au/job/79719714?type=standard&ref=search-standalone&origin=cardTitle
Marketing Manager,PRA,$1050p.d.,Sydney NSW,Architects (Information & Communication Technology),Contract/Temp,R r Excel ai,2024-10-10,https://www.seek.com.au/job/79708461?type=standout&ref=search-standalone&origin=cardTitle
2025 Graduate Brand Analyst,Bluefin Resources Pty Limited,N/A,Sydney NSW,Market Research & Analysis (Marketing & Communications),Contract/Temp,SQL R ETL ai Ai r Python excel,2024-10-22,https://www.seek.com.au/job/79440091?type=standard&ref=search-standalone&origin=cardTitle
Data Engineer,GradConnection,N/A,Sydney NSW,Brand Management (Marketing & Communications),Full time,SQL R Excel ai r analytics Tableau sAs,2024-10-23,https://www.seek.com.au/job/79407947?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Architect,Bank of Queensland,Sydney CBD location!,Sydney NSW,Architects (Information & Communication Technology),Full time,excel r Excel ai,2024-10-16,https://www.seek.com.au/job/79645852?type=standout&ref=search-standalone&origin=cardTitle
Python Developer,Scentre Group,N/A,Sydney NSW,Analysis & Reporting (Accounting),Full time,Analytics R Databricks ai AI r analytics ML,2024-10-22,https://www.seek.com.au/job/79691332?type=standout&ref=search-standalone&origin=cardTitle
Research Analyst,Hydrogen Group Pty Ltd,800AU/day,Sydney NSW,Engineering - Software (Information & Communication Technology),Contract/Temp,excel R r ai,2024-10-23,https://www.seek.com.au/job/79513760?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst,Experis AU,$800 - $850 p.d. + Super,Sydney NSW,Policy (Consulting & Strategy),Contract/Temp,R ETL Excel r Tableau Snowflake,2024-10-23,https://www.seek.com.au/job/79650247?type=standout&ref=search-standalone&origin=cardTitle
Logistics Financial Analyst,Billigence,N/A,Sydney NSW,Consultants (Information & Communication Technology),Contract/Temp,R r Excel ai,2024-10-23,https://www.seek.com.au/job/79668388?type=standard&ref=search-standalone&origin=cardTitle
Collibra Data Governance Specialist,People2people - Managed Services,Competitive,"Homebush, Sydney NSW","Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,R Excel ai r analytics,2024-10-12,https://www.seek.com.au/job/79669204?type=standard&ref=search-standalone&origin=cardTitle
Finance Analyst - Brandspace,Reward Recruitment,N/A,Sydney NSW,Remuneration & Benefits (Human Resources & Recruitment),Full time,R r Excel ai,2024-10-23,https://www.seek.com.au/job/79689570?type=standout&ref=search-standalone&origin=cardTitle
Senior Project Manager - Data Migration,IBC Recruitment,N/A,Sydney NSW,Programme & Project Management (Information & Communication Technology),Contract/Temp,R Mathematics Excel ai statistical r analytics excel,2024-10-22,https://www.seek.com.au/job/79443474?type=standout&ref=search-standalone&origin=cardTitle
Remuneration and Benefits Senior Analyst,DXC Technology Australia,N/A,"Macquarie Park, Sydney NSW",Actuarial (Insurance & Superannuation),Full time,R r ai,2024-10-18,https://www.seek.com.au/job/79690185?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst - Curriculum,University of Technology Sydney,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,quantitative Excel ai r analytics excel,2024-10-23,https://www.seek.com.au/job/79649927?type=standout&ref=search-standalone&origin=cardTitle
BI Analytics Consultant - Risk,CyberCX,N/A,Sydney NSW,Security (Information & Communication Technology),Full time,R r Excel ai,2024-10-01,https://www.seek.com.au/job/79567316?type=standard&ref=search-standalone&origin=cardTitle
Senior Analyst - Cyber Intelligence (any Australian capital city),Kantar,N/A,Sydney NSW,Analysts (Consulting & Strategy),Full time,R r Excel ai,2024-10-24,https://www.seek.com.au/job/79657577?type=standard&ref=search-standalone&origin=cardTitle
BI Analytics Consultant - Risk,Protecht Group,N/A,Sydney NSW,Analysts (Consulting & Strategy),Full time,R r ai,2024-10-20,https://www.seek.com.au/job/79174328?type=standout&ref=search-standalone&origin=cardTitle
Marketing Analyst,University of Technology Sydney,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R Java ai r,2024-10-18,https://www.seek.com.au/job/79695532?type=standout&ref=search-standalone&origin=cardTitle
Actuary,Kinexus,N/A,Sydney NSW,Other (Information & Communication Technology),Contract/Temp,R r ml ai,2024-10-19,https://www.seek.com.au/job/79616117?type=standard&ref=search-standalone&origin=cardTitle
Finance Analyst,Charterhouse,AUD 90000 - 110000 per annum,Sydney NSW,Analysis & Reporting (Accounting),Full time,R r Excel ai,2024-10-01,https://www.seek.com.au/job/79571750?type=promoted&ref=search-standalone&origin=cardTitle
Home Lending Product and Pricing Analyst,AMP Services,competitive salary + 12% super,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,SQL R ai r Python excel sAs Power BI,2024-10-18,https://www.seek.com.au/job/79599547?type=promoted&ref=search-standalone&origin=cardTitle
Functional Analyst - Digital Workplace,Protecht Group,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R Java ai r,Posted 22h ago,https://www.seek.com.au/job/79174284?type=standout&ref=search-standalone&origin=cardTitle
Senior Consultant,Allan Hall HR,c$60K plus Profit Share and super,"Auburn, Sydney NSW",Market Research & Analysis (Marketing & Communications),Full time,SQL Analytics R ETL Java AWS Databricks Excel ai statistical r Python Tableau Power BI,2024-10-16,https://www.seek.com.au/job/79565259?type=standout&ref=search-standalone&origin=cardTitle
DBT Engineer | Senior Data Engineer | Architect,Aged Care Quality and Safety Commission,Salary + 15.4% Super,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,R Excel ai r analytics,2024-10-22,https://www.seek.com.au/job/79744402?type=standout&ref=search-standalone&origin=cardTitle
Defence ICT  Uplift,ASIC,"Up to $144,386 + 15.4% Superannuation",Sydney NSW,Database Development & Administration (Information & Communication Technology)Government - Federal (Government & Defence),Contract/Temp,SQL R ml ai r Python,2024-10-16,https://www.seek.com.au/job/79511934?type=standout&ref=search-standalone&origin=cardTitle
Data Governance Policy Specialist,Talent Insights Group Pty Ltd,N/A,Sydney NSW,Engineering - Software (Information & Communication Technology),Full time,R Excel ai r analytics excel,2024-10-14,https://www.seek.com.au/job/79636793?type=standout&ref=search-standalone&origin=cardTitle
Investment Operations Analyst,Aequitas Investment Partners,"$90,000 – $100,000 per year",Sydney NSW,Funds Management (Banking & Financial Services),Full time,R r ai,2024-10-22,https://www.seek.com.au/job/79485059?type=standout&ref=search-standalone&origin=cardTitle
Commercial and BI Analyst,Perpetual Services Pty Limited,N/A,Sydney NSW,Financial Planning (Banking & Financial Services),Contract/Temp,R r Excel ai,2024-10-22,https://www.seek.com.au/job/79474292?type=standout&ref=search-standalone&origin=cardTitle
Senior Analytics Engineer,Uniting NSW & ACT,Base Salary + Super & NFP Salary Packaging Benefts,Sydney NSW,Management (Information & Communication Technology),Full time,SQL R r ai,2024-10-17,https://www.seek.com.au/job/79651301?type=standout&ref=search-standalone&origin=cardTitle
Analyst programmer,Bidsonline Pty. Ltd.,"$90,000 – $120,000 per year","Baulkham Hills, Sydney NSW",Developers/Programmers (Information & Communication Technology),Full time,SQL Analytics R Java Excel ai r analytics Python Snowflake,2024-10-11,https://www.seek.com.au/job/79633872?type=standout&ref=search-standalone&origin=cardTitle
"Reporting Analyst, Perpetual Wealth Management",Linfox Australia,N/A,"Auburn, Sydney NSW","Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,Analytics Excel ai r Tableau,2024-10-11,https://www.seek.com.au/job/79560982?type=standout&ref=search-standalone&origin=cardTitle
Chapter Lead - Data Engineering,KPMG,Our people build skills for the future,Sydney NSW,Management (Information & Communication Technology),Full time,SQL Analytics R Java ai r analytics Python Snowflake,2024-10-22,https://www.seek.com.au/job/79432621?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Engineer,IGT Australia,N/A,"Macquarie Park, Sydney NSW",Product Management & Development (Marketing & Communications),Contract/Temp,SQL Analytics Mathematics Databricks ai AI r analytics Python,2024-10-19,https://www.seek.com.au/job/79434978?type=standard&ref=search-standalone&origin=cardTitle
Manager - Data Analytics & Artificial Intelligence,Uniting NSW & ACT,Great base + Super + NFP sal packaging benefits!,"Parramatta, Sydney NSW",Engineering - Software (Information & Communication Technology),Full time,R excel r ai,2024-10-18,https://www.seek.com.au/job/79634496?type=standout&ref=search-standalone&origin=cardTitle
Graduate Product Analyst,Mirvac,N/A,Sydney NSW,Analysts (Real Estate & Property),Contract/Temp,SQL R Databricks ai r analytics Power BI,2024-10-18,https://www.seek.com.au/job/79591810?type=standout&ref=search-standalone&origin=cardTitle
Sustainability Analyst,Infinity Pro,$1100 to $1226 per day Negotiable - WFH Hybrid,"Parramatta, Sydney NSW",Engineering - Software (Information & Communication Technology),Contract/Temp,SQL ETL R AWS ai Ai r Python,2024-10-22,https://www.seek.com.au/job/79569055?type=standout&ref=search-standalone&origin=cardTitle
Senior Digital Analyst,Cuscal Limited (SR),N/A,Sydney NSW,Analysts (Consulting & Strategy),Full time,R Excel ai statistical r analytics excel Power BI,2024-10-11,https://www.seek.com.au/job/79586276?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer / AWS ETL Data Developer - Python Apache Airflow / Glue NoSQL ETL,ALDI Stores Australia,"$130,000 – $180,000 per year","Minchinbury, Sydney NSW",Analysis & Reporting (Accounting),Full time,SQL R ETL AWS ai Ai r Python,2024-10-10,https://www.seek.com.au/job/79641685?type=standard&ref=search-standalone&origin=cardTitle
"Fraud Analyst, Portfolio Risk Monitoring",Novotech (Australia) Pty Limited,N/A,Sydney NSW,Clinical/Medical Research (Healthcare & Medical),Full time,R r ai,2024-10-18,https://www.seek.com.au/job/79437390?type=standout&ref=search-standalone&origin=cardTitle
Workforce Planning & Reporting Analyst,HUB24,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL R Mathematics ai AI r analytics Python ML,2024-10-04,https://www.seek.com.au/job/79392149?type=standout&ref=search-standalone&origin=cardTitle
Principal Data Engineer,Karlka Recruiting Group,$900 - $1100 per day + super,"Parramatta, Sydney NSW",Government - State (Government & Defence),Contract/Temp,R r Excel ai,2024-10-09,https://www.seek.com.au/job/79564222?type=standout&ref=search-standalone&origin=cardTitle
Customer Solutions Designer and Performance Analyst,Schneider Electric,N/A,Sydney NSW,Sales - Pre & Post (Information & Communication Technology),Full time,R Tableau r ai,2024-10-16,https://www.seek.com.au/job/79261129?type=promoted&ref=search-standalone&origin=cardTitle
Business Analyst | Fixed Term,Primary Connect,N/A,"Norwest, Sydney NSW",Financial Accounting & Reporting (Accounting),Contract/Temp,R ml ai r excel aws,2024-10-25,https://www.seek.com.au/job/79374529?type=promoted&ref=search-standalone&origin=cardTitle
Senior Clinical Data Manager,wiq,N/A,"Surry Hills, Sydney NSW","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,R Excel ai r analytics,2024-10-16,https://www.seek.com.au/job/79531278?type=standout&ref=search-standalone&origin=cardTitle
Data Science Manager,FutureYou,$90k to $110k base + super,Sydney NSW,Treasury (Accounting),Full time,R AWS ai r analytics,2024-10-24,https://www.seek.com.au/job/79740042?type=standard&ref=search-standalone&origin=cardTitle
Senior Commercial Analyst,Schneider Electric,N/A,Sydney NSW,Analysts (Consulting & Strategy),Full time,R r ml ai,2024-10-18,https://www.seek.com.au/job/79529849?type=standout&ref=search-standalone&origin=cardTitle
Treasury Analyst - Securitisation,GradConnection,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,R r ai,2024-10-15,https://www.seek.com.au/job/79693078?type=standout&ref=search-standalone&origin=cardTitle
Senior Sustainability Reporting Analyst,Charterhouse,AUD 90000 - 110000 per annum,Sydney NSW,Analysis & Reporting (Accounting),Full time,R r ETL Power BI,2024-10-24,https://www.seek.com.au/job/79571750?type=standout&ref=search-standalone&origin=cardTitle
Head of Commercial Data,Talenza,$900 - $1k p.d. + Super,Sydney NSW,Programme & Project Management (Information & Communication Technology),Contract/Temp,R r Excel,2024-10-24,https://www.seek.com.au/job/79476763?type=standard&ref=search-standalone&origin=cardTitle
Business Analyst,Seven,Base + super + incentives,Sydney NSW,"Other (Advertising, Arts & Media)",Full time,R r Excel ai,2024-10-25,https://www.seek.com.au/job/79700706?type=standout&ref=search-standalone&origin=cardTitle
Project Manager: Data,Allura Partners,$110-120K + super,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,R Excel ai r analytics Power BI,2024-10-18,https://www.seek.com.au/job/79699152?type=standard&ref=search-standalone&origin=cardTitle
Finance Analyst,ACO Pty Ltd,N/A,"Emu Plains, Sydney NSW","Production, Planning & Scheduling (Manufacturing, Transport & Logistics)",Full time,R Excel ai r excel,2024-10-17,https://www.seek.com.au/job/79739544?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst,Harvey Norman,"Attractive REM, Salary Packaging & Novated Leases!","Homebush West, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,R r,2024-10-24,https://www.seek.com.au/job/79567724?type=standout&ref=search-standalone&origin=cardTitle
2025 Graduate Program - Business Analysis,"Department of Planning, Housing and Infrastructure",N/A,Sydney NSW,Government - State (Government & Defence),Full time,R Excel ml ai r,2024-10-21,https://www.seek.com.au/job/79558951?type=standout&ref=search-standalone&origin=cardTitle
Technical Business Analyst,Yancoal,N/A,Sydney NSW,Compliance & Risk (Accounting),Part time,R r ai,2024-10-05,https://www.seek.com.au/job/79715220?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst | Construction,SustainRecruit,"$130,000 - $150,000 py + super",Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,R r analytics ai,2024-10-24,https://www.seek.com.au/job/79625472?type=standout&ref=search-standalone&origin=cardTitle
Manager Spatial Data Services,Talenza,$1100 - $1200 p.d. + Super,Sydney NSW,Security (Information & Communication Technology),Contract/Temp,SQL R AWS ai r Python excel ML,2024-10-19,https://www.seek.com.au/job/79297339?type=standard&ref=search-standalone&origin=cardTitle
Infra Operations Specialist - Capacity & Performance,Woolworths Group,N/A,"Yennora, Sydney NSW",Engineering - Software (Information & Communication Technology),Full time,R excel r Power BI,2024-10-24,https://www.seek.com.au/job/79715395?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer (Python & AWS),AMP Services,competitive salary + 12% super,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,SQL Analytics R Java ml ai r Python Tableau,2024-10-23,https://www.seek.com.au/job/79599547?type=standout&ref=search-standalone&origin=cardTitle
Home Lending Product and Pricing Analyst,The Nielsen Company (Australia) Pty Ltd,N/A,"Lane Cove, Sydney NSW",Engineering - Software (Information & Communication Technology),Full time,SQL R ai r Python excel sAs Power BI,2024-10-10,https://www.seek.com.au/job/79692637?type=standout&ref=search-standalone&origin=cardTitle
"Power BI Consultant -End to End, Power Suite",Robert Half,$130k - $150k p.a. + + Super,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL R ai r Python SAs Power BI,2024-10-24,https://www.seek.com.au/job/79672700?type=standard&ref=search-standalone&origin=cardTitle
